material_id,m3gnet_energy,m3gnet_volume,n_sites,e_form_per_atom_m3gnet,e_form_per_atom_m3gnet_uncorrected,e_form_per_atom_m3gnet_megnet_old,e_form_per_atom_m3gnet_megnet
wbm-1-26,-13.5319,87.5506,4,-0.2341,-0.2341,-0.2485,-0.2485
wbm-1-27,-22.3536,131.17,6,-0.3146,-0.3146,-0.2739,-0.2739
wbm-1-28,-16.7555,74.0878,3,-0.2661,-0.2661,-0.2627,-0.2627
wbm-1-29,-15.7948,57.4511,3,-0.0575,-0.0575,-0.0336,-0.0336
wbm-1-30,-11.0683,102.8142,4,-0.2446,-0.2446,-0.2318,-0.2318
wbm-1-31,-13.5855,88.4235,4,-0.2438,-0.2438,-0.2248,-0.2248
wbm-1-32,-22.3612,131.495,6,-0.311,-0.311,-0.2864,-0.2864
wbm-1-33,-14.1262,283.3669,7,-0.511,-0.2945,-0.3136,-0.530171
wbm-1-34,-14.4289,139.3844,5,-0.2683,-0.2683,-0.264,-0.264
wbm-1-35,-13.7956,103.5591,4,-0.3144,-0.3144,-0.2784,-0.2784
wbm-1-36,-18.7051,79.2388,4,-0.0828,-0.0828,-0.1142,-0.1142
wbm-1-37,-18.6342,93.2368,4,0.2685,0.2685,0.2523,0.2523
wbm-1-38,-8.5296,59.5159,3,-0.0376,-0.0376,-0.0444,-0.0444
wbm-1-39,-25.3524,179.7959,9,-0.0113,-0.0113,-0.0047,-0.0047
wbm-1-40,-17.0833,118.7984,6,-0.0416,-0.0416,-0.0433,-0.0433
wbm-1-41,-16.2358,101.149,4,-0.4362,-0.4362,-0.3791,-0.3791
wbm-1-42,-21.9366,112.5162,4,-0.2608,-0.2608,-0.2821,-0.2821
wbm-1-43,-12.1352,95.1729,4,-0.3076,-0.3076,-0.2949,-0.2949
wbm-1-44,-15.8114,100.6929,4,-0.3744,-0.3744,-0.344,-0.344
wbm-1-45,-11.3723,76.3702,3,-0.257,-0.257,-0.2369,-0.2369
wbm-1-46,-13.6183,105.9358,4,-0.3694,-0.3694,-0.3664,-0.3664
wbm-1-47,-13.4032,86.0422,4,-0.2136,-0.2136,-0.2364,-0.2364
wbm-1-48,-22.3345,127.1766,6,-0.327,-0.327,-0.2531,-0.2531
wbm-1-49,-11.1116,72.5296,3,-0.2261,-0.2261,-0.2557,-0.2557
wbm-1-50,-22.4424,144.6591,6,-0.2626,-0.2626,-0.2905,-0.2905
wbm-1-51,-14.8085,107.165,4,-0.3274,-0.3274,-0.2552,-0.2552
wbm-1-52,-18.6087,134.4153,6,0.0245,0.0245,0.0171,0.0171
wbm-1-53,-11.1387,74.0727,3,-0.2309,-0.2309,-0.2369,-0.2369
wbm-1-54,-22.5382,147.1057,6,-0.2743,-0.2743,-0.2841,-0.2841
wbm-1-55,-19.0537,69.5854,3,0.2931,0.2931,0.0106,0.0106
wbm-1-56,-36.4918,281.8097,10,-0.5575,-0.4807,-0.4636,-0.5404
wbm-1-57,-15.5761,103.0885,4,-0.4632,-0.4152,-0.4194,-0.4674
wbm-1-58,-11.129,69.9227,3,-0.2484,-0.2484,-0.3206,-0.3206
wbm-1-59,-22.3948,140.503,6,-0.2712,-0.2712,-0.2907,-0.2907
wbm-1-60,-12.7376,106.8001,4,-0.286,-0.286,-0.226,-0.226
wbm-1-61,-13.322,95.8848,4,0.0607,0.0607,0.2127,0.2127
wbm-1-62,-16.923,91.0643,4,-0.3288,-0.3288,-0.3126,-0.3126
wbm-1-63,-15.8961,86.7279,4,-0.4036,-0.4036,-0.3695,-0.3695
wbm-1-64,-15.8481,85.9047,4,-0.4014,-0.4014,-0.3633,-0.3633
wbm-1-65,-15.8396,86.1596,4,-0.3956,-0.3956,-0.3676,-0.3676
wbm-1-66,-15.6866,84.278,4,-0.3727,-0.3727,-0.3523,-0.3523
wbm-1-67,-22.5354,87.0688,4,0.0218,0.0218,0.1156,0.1156
wbm-1-68,-16.0913,93.2859,4,-0.4089,-0.4089,-0.3921,-0.3921
wbm-1-69,-20.2615,76.0282,4,0.3178,0.3178,0.4636,0.4636
wbm-1-70,-15.9642,87.389,4,-0.4137,-0.4137,-0.3723,-0.3723
wbm-1-71,-28.7735,270.3886,8,-0.7868,-0.5758,-0.5881,-0.7990999999999999
wbm-1-72,-18.3034,93.5448,4,-0.3037,-0.3037,-0.2536,-0.2536
wbm-1-73,-15.6403,84.641,4,-0.3724,-0.3724,-0.3635,-0.3635
wbm-1-74,-20.0202,89.9935,4,0.2365,0.2365,0.2841,0.2841
wbm-1-75,-29.0524,184.9001,9,-0.0031,-0.0031,0.08,0.08
wbm-1-76,-12.8843,87.3292,4,-0.4175,-0.4175,-0.3826,-0.3826
wbm-1-77,-18.176,79.6326,4,0.4274,0.4274,0.5107,0.5107
wbm-1-78,-17.0734,53.9264,3,0.1499,0.1499,0.2153,0.2153
wbm-1-79,-22.3899,135.3351,6,-0.2985,-0.2985,-0.2956,-0.2956
wbm-1-80,-35.7928,299.6201,12,-0.1872,-0.0466,-0.0445,-0.18516699999999997
wbm-1-81,-35.5325,301.979,12,-0.1655,-0.0249,0.0203,-0.12036699999999999
wbm-1-82,-13.3714,71.6061,3,-0.0974,-0.0974,-0.13,-0.13
wbm-1-83,-26.9366,141.3342,6,-0.1297,-0.1297,-0.1651,-0.1651
wbm-1-84,-11.7399,96.6163,4,0.0445,0.0445,0.1818,0.1818
wbm-1-85,-20.4514,90.3515,4,0.1311,0.1311,0.2178,0.2178
wbm-1-86,-21.2181,86.8535,4,0.2694,0.2694,0.4495,0.4495
wbm-1-87,-16.0177,93.5455,4,-0.144,-0.144,-0.1161,-0.1161
wbm-1-88,-17.9064,90.6988,4,0.3532,0.3532,0.2885,0.2885
wbm-1-89,-13.4018,86.7905,4,-0.2246,-0.2246,-0.2426,-0.2426
wbm-1-90,-22.1352,128.4222,6,-0.3089,-0.3089,-0.2708,-0.2708
wbm-1-91,-15.7437,73.622,3,0.4043,0.4043,0.4532,0.4532
wbm-1-92,-31.7015,144.546,6,0.3686,0.3686,0.5436,0.5436
wbm-1-93,-10.6172,90.0314,4,-0.2625,-0.2625,-0.2552,-0.2552
wbm-1-94,-13.1738,102.6216,4,-0.1387,-0.1387,-0.1585,-0.1585
wbm-1-95,-11.9704,71.9827,4,-0.0497,-0.0497,-0.0449,-0.0449
wbm-1-96,-24.6957,172.7511,8,0.01,0.01,0.0487,0.0487
wbm-1-97,-12.2328,87.4384,4,0.0388,0.0388,0.0731,0.0731
wbm-1-98,-24.7083,171.8565,8,0.0084,0.0084,0.0291,0.0291
wbm-1-99,-9.5702,74.8442,4,-0.0374,-0.0374,-0.0523,-0.0523
wbm-1-100,-9.4755,75.5109,4,-0.0137,-0.0137,0.0031,0.0031
wbm-1-101,-28.2105,166.9508,8,-0.2502,-0.2502,-0.2195,-0.2195
wbm-1-102,-28.2219,164.474,8,-0.2614,-0.2614,-0.2124,-0.2124
wbm-1-103,-39.5367,186.0859,8,-0.2446,-0.2446,-0.1731,-0.1731
wbm-1-104,-47.0164,167.9922,8,-0.2336,-0.2336,-0.2344,-0.2344
wbm-1-105,-17.4385,152.1771,8,0.0206,0.0206,0.0285,0.0285
wbm-1-106,-28.2233,165.1756,8,-0.2579,-0.2579,-0.2207,-0.2207
wbm-1-107,-20.7088,139.9346,6,-0.2953,-0.2953,-0.2008,-0.2008
wbm-1-108,-22.8322,153.2114,8,-0.0416,-0.0416,-0.0478,-0.0478
wbm-1-109,-15.751,67.7933,4,0.3963,0.3963,0.4112,0.4112
wbm-1-110,-15.7072,67.8243,4,0.4073,0.4073,0.424,0.424
wbm-1-111,-28.6388,186.2011,8,-0.2214,-0.2214,-0.2163,-0.2163
wbm-1-112,-14.3178,93.4042,4,-0.221,-0.221,-0.1963,-0.1963
wbm-1-113,-28.0798,181.2435,8,-0.1935,-0.1935,-0.2002,-0.2002
wbm-1-114,-40.9238,176.3853,8,0.2459,0.2459,0.3825,0.3825
wbm-1-115,-11.8459,83.5686,4,0.0911,0.0911,0.0291,0.0291
wbm-1-116,-24.0468,174.5027,8,0.0468,0.0468,0.033,0.033
wbm-1-117,-28.2458,177.988,8,-0.2186,-0.2186,-0.2088,-0.2088
wbm-1-118,-28.1663,184.0003,8,-0.2011,-0.2011,-0.191,-0.191
wbm-1-119,-14.5558,68.897,4,0.0032,0.0032,-0.0175,-0.0175
wbm-1-120,-42.1818,171.5275,8,0.4187,0.4187,0.0537,0.0537
wbm-1-121,-25.2726,156.2501,8,-0.0322,-0.0322,-0.0231,-0.0231
wbm-1-122,-12.6329,78.0256,4,-0.0314,-0.0314,-0.0174,-0.0174
wbm-1-123,-38.4293,142.4997,8,0.2852,0.2852,0.5744,0.5744
wbm-1-124,-36.29,374.2964,12,-0.5515,-0.4109,-0.4036,-0.5442670000000001
wbm-1-125,-32.3696,179.3262,8,-0.0683,-0.0683,-0.0637,-0.0637
wbm-1-126,-10.5138,80.1382,4,0.0866,0.0866,0.0361,0.0361
wbm-1-127,-27.9789,161.685,8,-0.254,-0.254,-0.2201,-0.2201
wbm-1-128,-36.4954,176.5371,8,0.3854,0.3854,0.4078,0.4078
wbm-1-129,-22.5244,168.2302,8,-0.3062,-0.3062,-0.2816,-0.2816
wbm-1-130,-17.5141,108.779,5,-0.0501,-0.0501,-0.076,-0.076
wbm-1-131,-16.8758,101.4473,5,-0.1877,-0.1877,-0.1973,-0.1973
wbm-1-132,-16.9079,99.5515,5,-0.202,-0.202,-0.2075,-0.2075
wbm-1-133,-21.3463,93.9553,5,-0.0117,-0.0117,0.0232,0.0232
wbm-1-134,-16.8857,100.652,5,-0.1946,-0.1946,-0.201,-0.201
wbm-1-135,-14.2799,94.3366,5,-0.0396,-0.0396,-0.0369,-0.0369
wbm-1-136,-17.1453,111.2864,5,-0.1758,-0.1758,-0.1799,-0.1799
wbm-1-137,-16.8229,107.98,5,-0.1449,-0.1449,-0.1689,-0.1689
wbm-1-138,-16.8503,109.477,5,-0.1478,-0.1478,-0.1595,-0.1595
wbm-1-139,-16.8371,105.5665,5,-0.1576,-0.1576,-0.1858,-0.1858
wbm-1-140,-16.8805,102.4308,5,-0.1831,-0.1831,-0.2093,-0.2093
wbm-1-141,-18.8802,108.0651,5,-0.0272,-0.0272,-0.0633,-0.0633
wbm-1-142,-16.7575,99.0349,5,-0.1903,-0.1903,-0.2011,-0.2011
wbm-1-143,-20.9711,103.9146,5,0.3302,0.3302,0.3454,0.3454
wbm-1-144,-14.0785,100.8245,5,-0.2417,-0.2417,-0.2479,-0.2479
wbm-1-145,-18.4501,113.4037,6,-0.0462,-0.0462,-0.0038,-0.0038
wbm-1-146,-13.3502,87.0485,4,-0.0199,-0.0199,-0.022,-0.022
wbm-1-147,-9.5061,76.9188,4,0.0445,0.0445,0.0286,0.0286
wbm-1-148,-23.3964,89.0758,4,0.0629,0.0629,-0.2084,-0.2084
wbm-1-149,-20.8726,82.551,4,-0.0502,-0.0502,-0.124,-0.124
wbm-1-150,-6.4012,81.5467,4,0.0782,0.0782,0.0634,0.0634
wbm-1-151,-22.5078,101.2095,4,-0.3934,-0.3934,-0.3067,-0.3067
wbm-1-152,-27.5533,103.3955,4,0.284,0.284,0.5771,0.5771
wbm-1-153,-11.9362,142.4863,4,-0.4979,-0.4979,-0.5082,-0.5082
wbm-1-154,-13.1118,156.4444,4,-0.6378,-0.6378,-0.659,-0.659
wbm-1-155,-12.2671,154.2956,4,-0.471,-0.471,-0.4703,-0.4703
wbm-1-156,-14.6902,128.0204,4,-0.4872,-0.4872,-0.4521,-0.4521
wbm-1-157,-21.0653,211.7949,6,-0.6304,-0.6304,-0.6447,-0.6447
wbm-1-158,-6.7394,115.9283,4,-0.3451,-0.3451,-0.293,-0.293
wbm-1-159,-10.7165,150.0758,4,-0.3033,-0.3033,-0.2929,-0.2929
wbm-1-160,-6.5765,49.0916,2,0.0731,0.0731,0.1479,0.1479
wbm-1-161,-9.4292,109.9579,4,-0.1574,-0.1574,-0.2347,-0.2347
wbm-1-162,-12.7972,71.8419,4,0.1799,0.1799,0.0796,0.0796
wbm-1-163,-10.5183,97.564,4,-0.226,-0.226,-0.3071,-0.3071
wbm-1-164,-11.4134,74.8111,4,-0.166,-0.166,-0.2157,-0.2157
wbm-1-165,-11.3144,166.4616,8,-0.014,-0.014,-0.0657,-0.0657
wbm-1-166,-10.7198,76.0868,4,-0.1041,-0.1041,-0.1158,-0.1158
wbm-1-167,-7.7496,80.5999,3,-0.0347,-0.0347,-0.053,-0.053
wbm-1-168,-15.861,109.5203,4,-0.0598,-0.0598,-0.0521,-0.0521
wbm-1-169,-14.1773,100.7363,4,-0.3021,-0.3021,-0.3309,-0.3309
wbm-1-170,-14.0817,98.9091,4,-0.2977,-0.2977,-0.3315,-0.3315
wbm-1-171,-25.7317,116.6076,4,-0.348,-0.348,-0.3076,-0.3076
wbm-1-172,-32.9104,104.2538,4,-0.2507,-0.2507,-0.321,-0.321
wbm-1-173,-23.7979,80.7209,4,-0.032,-0.032,0.0024,0.0024
wbm-1-174,-14.1379,99.6136,4,-0.3044,-0.3044,-0.3328,-0.3328
wbm-1-175,-9.2043,88.6131,4,0.0136,0.0136,0.1646,0.1646
wbm-1-176,-19.5049,64.3352,4,0.4819,0.4819,0.6199,0.6199
wbm-1-177,-14.7494,118.2956,4,-0.2805,-0.2805,-0.2898,-0.2898
wbm-1-178,-29.1215,236.4689,9,-0.3386,-0.3386,-0.3475,-0.3475
wbm-1-179,-14.375,111.3944,4,-0.2708,-0.2708,-0.2898,-0.2898
wbm-1-180,-16.3522,69.0412,4,-0.1137,-0.1137,-0.1154,-0.1154
wbm-1-181,-30.3239,95.0856,4,0.4918,0.4918,0.1038,0.1038
wbm-1-182,-15.9502,142.7179,6,-0.0942,-0.0302,-0.0087,-0.0727
wbm-1-183,-14.3111,107.1659,4,-0.2796,-0.2796,-0.2967,-0.2967
wbm-1-184,-14.1501,102.5711,4,-0.2814,-0.2814,-0.3249,-0.3249
wbm-1-185,-19.0097,107.9988,4,-0.1066,-0.1066,-0.1199,-0.1199
wbm-1-186,-13.9653,96.7536,4,-0.3146,-0.3146,-0.3281,-0.3281
wbm-1-187,-24.3165,101.5791,4,0.5055,0.5055,0.7942,0.7942
wbm-1-188,-15.1347,161.5221,8,-0.0141,-0.0141,-0.0663,-0.0663
wbm-1-189,-7.6,78.8505,4,-0.0222,-0.0222,-0.073,-0.073
wbm-1-190,-7.6618,78.6998,4,-0.0377,-0.0377,-0.0923,-0.0923
wbm-1-191,-8.4868,101.4964,4,-0.413,-0.413,-0.4435,-0.4435
wbm-1-192,-19.4149,102.1122,4,-0.3606,-0.3606,-0.3062,-0.3062
wbm-1-193,-15.6908,109.2739,4,-0.1721,-0.1721,-0.1679,-0.1679
wbm-1-194,-25.1317,93.1912,4,-0.3986,-0.3986,-0.3803,-0.3803
wbm-1-195,-26.4187,91.0352,4,-0.1231,-0.1231,-0.0442,-0.0442
wbm-1-196,-14.734,73.665,3,-0.0117,-0.0117,0.0837,0.0837
wbm-1-197,-39.8765,245.2635,9,-0.2713,-0.2713,-0.311,-0.311
wbm-1-198,-17.6713,95.8901,4,-0.035,-0.035,-0.0455,-0.0455
wbm-1-199,-19.3834,337.628,8,-0.2946,-0.2946,-0.297,-0.297
wbm-1-200,-17.7355,94.2645,4,-0.6038,-0.6038,-0.5894,-0.5894
wbm-1-201,-13.9901,99.9245,4,-0.4101,-0.4101,-0.416,-0.416
wbm-1-202,-12.5582,81.2957,3,-0.1707,-0.1707,-0.296,-0.296
wbm-1-203,-16.4721,82.153,4,-0.6212,-0.6212,-0.5959,-0.5959
wbm-1-204,-36.8691,224.5755,9,-0.3792,-0.3792,-0.3667,-0.3667
wbm-1-205,-15.7703,98.6852,4,-0.2229,-0.2229,-0.2599,-0.2599
wbm-1-206,-17.699,92.5045,4,-0.6143,-0.6143,-0.6001,-0.6001
wbm-1-207,-13.9399,97.7777,4,-0.417,-0.417,-0.4177,-0.4177
wbm-1-208,-24.474,83.7444,4,-0.3196,-0.3196,-0.3344,-0.3344
wbm-1-209,-12.5381,78.7594,3,-0.19,-0.19,-0.3171,-0.3171
wbm-1-210,-16.4538,81.2461,4,-0.6264,-0.6264,-0.5944,-0.5944
wbm-1-211,-24.5242,149.8663,6,-0.3831,-0.3831,-0.3546,-0.3546
wbm-1-212,-15.732,97.1994,4,-0.2329,-0.2329,-0.2711,-0.2711
wbm-1-213,-29.604,122.6004,4,-0.5744,-0.5744,-0.6245,-0.6245
wbm-1-214,-25.4746,115.7797,4,-0.4386,-0.4386,-0.4107,-0.4107
wbm-1-215,-33.2471,96.0628,4,-0.248,-0.248,-0.3046,-0.3046
wbm-1-216,-28.8971,122.322,4,-0.442,-0.442,-0.4535,-0.4535
wbm-1-217,-53.8943,248.2486,9,-0.3758,-0.3758,-0.4395,-0.4395
wbm-1-218,-13.7582,56.8742,2,-0.3168,-0.3168,-0.2814,-0.2814
wbm-1-219,-42.082,90.0799,4,-0.5647,-0.5647,-0.5565,-0.5565
wbm-1-220,-43.5509,154.907,6,-0.3847,-0.3847,-0.4099,-0.4099
wbm-1-221,-64.9846,231.2442,9,-0.3467,-0.3467,-0.3752,-0.3752
wbm-1-222,-23.4478,82.2265,4,-0.0993,-0.0993,-0.0738,-0.0738
wbm-1-223,-33.466,73.7278,4,-0.4702,-0.4702,-0.5259,-0.5259
wbm-1-224,-35.2355,73.1454,4,-0.3153,-0.3153,-0.3887,-0.3887
wbm-1-225,-25.0994,83.934,4,0.0026,0.0026,-0.0255,-0.0255
wbm-1-226,-12.984,39.7598,2,-0.0971,-0.0971,-0.0417,-0.0417
wbm-1-227,-6.6821,99.4063,4,0.162,0.162,0.2195,0.2195
wbm-1-228,-16.0032,94.1228,4,0.0962,0.0962,0.1069,0.1069
wbm-1-229,-11.7379,96.7445,4,-0.221,-0.221,-0.1967,-0.1967
wbm-1-230,-13.9303,93.1372,4,0.2003,0.2003,0.1572,0.1572
wbm-1-231,-30.2848,105.245,4,0.3468,0.3468,0.045,0.045
wbm-1-232,-18.7737,107.053,4,-0.2024,-0.2024,-0.1819,-0.1819
wbm-1-233,-24.089,113.3201,4,0.4075,0.4075,0.7593,0.7593
wbm-1-234,-17.7213,93.051,4,-0.6125,-0.6125,-0.5963,-0.5963
wbm-1-235,-13.9659,98.5848,4,-0.4162,-0.4162,-0.4173,-0.4173
wbm-1-236,-24.4455,84.7372,4,-0.3052,-0.3052,-0.3172,-0.3172
wbm-1-237,-12.5218,80.0602,3,-0.1748,-0.1748,-0.3051,-0.3051
wbm-1-238,-16.4525,81.5734,4,-0.6224,-0.6224,-0.5973,-0.5973
wbm-1-239,-36.674,222.7898,9,-0.3657,-0.3657,-0.3473,-0.3473
wbm-1-240,-15.7499,97.2812,4,-0.23,-0.23,-0.2679,-0.2679
wbm-1-241,-20.8678,358.5785,8,-1.104,-0.9145,-0.8867,-1.0762
wbm-1-242,-20.9126,340.5385,8,-1.1096,-0.9201,-0.927,-1.1165
wbm-1-243,-20.9355,362.3986,8,-1.1124,-0.9229,-0.8987,-1.0882
wbm-1-244,-22.372,273.0076,8,-0.5877,-0.3982,-0.3703,-0.5598000000000001
wbm-1-245,-24.1376,482.8574,10,-0.9812,-0.7538,-0.7119,-0.9393
wbm-1-246,-12.0038,213.3428,5,-0.9682,-0.7408,-0.7164,-0.9438
wbm-1-247,-23.0533,397.7085,10,-0.5793,-0.3519,-0.3634,-0.5908
wbm-1-248,-11.3133,186.9943,5,-0.5366,-0.3092,-0.2915,-0.5188999999999999
wbm-1-249,-11.9821,85.9992,4,-0.0931,-0.0931,-0.017,-0.017
wbm-1-250,-8.5307,94.6453,4,0.0273,0.0273,0.1896,0.1896
wbm-1-251,-17.02,74.1347,4,0.0386,0.0386,-0.0192,-0.0192
wbm-1-252,-17.7303,75.8193,4,0.4583,0.4583,0.3617,0.3617
wbm-1-253,-22.8814,252.1495,7,-0.5229,-0.2817,-0.2741,-0.515243
wbm-1-254,-10.2809,104.1385,4,0.1044,0.1044,0.185,0.185
wbm-1-255,-8.2921,78.3976,3,0.0146,0.0146,-0.0151,-0.0151
wbm-1-256,-21.8973,191.0705,8,0.0348,0.0348,0.0486,0.0486
wbm-1-257,-10.8419,92.5759,4,0.0614,0.0614,0.1813,0.1813
wbm-1-258,-18.2205,109.9754,4,-0.1925,-0.1925,-0.16,-0.16
wbm-1-259,-16.4167,101.9915,4,-0.4047,-0.4047,-0.4003,-0.4003
wbm-1-260,-27.5897,118.6142,4,-0.3554,-0.3554,-0.3589,-0.3589
wbm-1-261,-35.3271,105.1098,4,-0.3976,-0.3976,-0.4012,-0.4012
wbm-1-262,-25.9226,84.1683,4,-0.106,-0.106,-0.097,-0.097
wbm-1-263,-20.2772,280.8954,8,-0.5661,-0.3766,-0.3125,-0.502
wbm-1-264,-16.9085,121.2144,4,-0.363,-0.363,-0.3694,-0.3694
wbm-1-265,-23.5485,162.7551,6,-0.418,-0.418,-0.4515,-0.4515
wbm-1-266,-35.4883,236.2246,9,-0.4364,-0.4364,-0.4473,-0.4473
wbm-1-267,-16.5887,113.3695,4,-0.3671,-0.3671,-0.3693,-0.3693
wbm-1-268,-33.0966,104.225,4,0.2558,0.2558,-0.0007,-0.0007
wbm-1-269,-16.4423,103.8568,4,-0.3973,-0.3973,-0.4002,-0.4002
wbm-1-270,-12.4208,125.1674,4,-0.3485,-0.1375,-0.105,-0.316
wbm-1-271,-36.7404,344.361,12,-0.2932,-0.1525,-0.1812,-0.321867
wbm-1-272,-21.2278,111.3816,4,-0.2039,-0.2039,-0.1874,-0.1874
wbm-1-273,-16.1404,97.878,4,-0.4011,-0.4011,-0.3862,-0.3862
wbm-1-274,-26.3964,111.5632,4,0.4427,0.4427,0.5332,0.5332
wbm-1-275,-11.2176,86.0796,4,-0.0122,-0.0122,0.0411,0.0411
wbm-1-276,-10.3894,104.7847,4,-0.4315,-0.4315,-0.4493,-0.4493
wbm-1-277,-18.2199,65.9687,4,0.6483,0.6483,0.7603,0.7603
wbm-1-278,-28.1173,59.0681,4,0.3076,0.3076,0.527,0.527
wbm-1-279,-18.4266,88.8021,4,0.2561,0.2561,0.3338,0.3338
wbm-1-280,-36.9718,86.7342,4,0.1487,0.1487,0.2246,0.2246
wbm-1-281,-40.0498,90.3114,4,0.0392,0.0392,0.0668,0.0668
wbm-1-282,-28.4758,97.6104,4,-0.4942,-0.4942,-0.4351,-0.4351
wbm-1-283,-33.8774,85.3921,4,0.0941,0.0941,0.0784,0.0784
wbm-1-284,-18.8072,298.8403,8,-0.3621,-0.1726,-0.1875,-0.377
wbm-1-285,-14.5362,117.8187,4,-0.382,-0.382,-0.3795,-0.3795
wbm-1-286,-24.3593,97.0732,4,-0.1068,-0.1068,-0.1242,-0.1242
wbm-1-287,-18.3167,125.8809,4,-0.4749,-0.4749,-0.4402,-0.4402
wbm-1-288,-21.5094,104.6063,4,-0.6835,-0.6835,-0.6579,-0.6579
wbm-1-289,-35.7275,234.5976,8,-0.5788,-0.5788,-0.5849,-0.5849
wbm-1-290,-38.5778,254.4448,9,-0.4594,-0.4594,-0.4874,-0.4874
wbm-1-291,-25.9042,168.9581,6,-0.4903,-0.4903,-0.4412,-0.4412
wbm-1-292,-22.5403,81.5539,4,-0.6575,-0.6575,-0.7094,-0.7094
wbm-1-293,-33.5935,234.0675,8,-0.3149,-0.3149,-0.2779,-0.2779
wbm-1-294,-16.7987,117.1388,4,-0.3154,-0.3154,-0.2801,-0.2801
wbm-1-295,-12.4754,76.0457,3,-0.2003,-0.2003,-0.3332,-0.3332
wbm-1-296,-16.4244,79.241,4,-0.6307,-0.6307,-0.5883,-0.5883
wbm-1-297,-9.178,86.7308,4,-0.3042,-0.3042,-0.2761,-0.2761
wbm-1-298,-24.0988,147.3684,6,-0.3277,-0.3277,-0.2936,-0.2936
wbm-1-299,-15.6943,93.5309,4,-0.2468,-0.2468,-0.3033,-0.3033
wbm-1-300,-8.0701,45.775,2,-0.3582,-0.3582,-0.3464,-0.3464
wbm-1-301,-17.7539,104.1273,4,-0.5278,-0.5278,-0.5176,-0.5176
wbm-1-302,-24.0692,93.9766,4,-0.1182,-0.1182,-0.1297,-0.1297
wbm-1-303,-37.7592,241.0472,9,-0.4244,-0.4244,-0.4335,-0.4335
wbm-1-304,-14.3697,46.8428,2,0.7053,0.7053,0.7202,0.7202
wbm-1-305,-22.2286,110.1982,4,0.0184,0.0184,-0.0385,-0.0385
wbm-1-306,-40.8565,84.713,4,0.4348,0.4348,0.4309,0.4309
wbm-1-307,-29.7408,95.3146,4,-0.2133,-0.2133,-0.1378,-0.1378
wbm-1-308,-35.2804,85.3484,4,0.3406,0.3406,0.3464,0.3464
wbm-1-309,-20.1744,165.2612,6,0.0569,0.0569,0.1135,0.1135
wbm-1-310,-61.6052,240.3634,9,0.0926,0.0926,-0.0101,-0.0101
wbm-1-311,-29.7095,161.2635,6,-0.2986,-0.2986,-0.2585,-0.2585
wbm-1-312,-43.8939,244.9278,9,-0.2241,-0.2241,-0.1787,-0.1787
wbm-1-313,-34.1623,144.1085,6,0.2518,0.2518,0.2683,0.2683
wbm-1-314,-50.3807,238.3872,9,0.3477,0.3477,0.4166,0.4166
wbm-1-315,-8.183,51.3001,2,-0.3,-0.3,-0.2946,-0.2946
wbm-1-316,-17.7806,106.6505,4,-0.5281,-0.5281,-0.4999,-0.4999
wbm-1-317,-23.9924,95.7497,4,-0.0927,-0.0927,-0.1039,-0.1039
