material_id,chgnet_energy_IS2RE,e_form_per_atom_chgnet_uncorrected,e_form_per_atom_chgnet,e_form_per_atom_mp2020_corrected,e_form_per_atom_chgnet_megnet
wbm-1-55,-19.313,0.2067,0.2067,0.022,0.103
wbm-1-56,-37.2971,-0.5613,-0.6381,-0.583,-0.5294
wbm-1-57,-15.5737,-0.4146,-0.4626,-0.381,-0.4257
wbm-1-58,-10.9642,-0.1935,-0.1935,-0.286,-0.1741
wbm-1-59,-22.3973,-0.2716,-0.2716,-0.28,-0.2909
wbm-1-60,-12.4521,-0.2146,-0.2146,-0.221,-0.2572
wbm-1-61,-13.0149,0.1375,0.1375,0.1,0.2195
wbm-1-62,-16.2957,-0.172,-0.172,-0.317,-0.2265
wbm-1-63,-15.4468,-0.2913,-0.2913,-0.366,-0.3414
wbm-1-64,-15.2356,-0.2483,-0.2483,-0.348,-0.3426
wbm-1-65,-15.3136,-0.2641,-0.2641,-0.357,-0.3392
wbm-1-66,-15.1538,-0.2395,-0.2395,-0.313,-0.3134
wbm-1-67,-21.6727,0.2375,0.2375,0.118,0.2715
wbm-1-68,-15.5631,-0.2769,-0.2769,-0.387,-0.3335
wbm-1-69,-20.4066,0.2815,0.2815,0.593,0.4884
wbm-1-70,-15.4156,-0.2766,-0.2766,-0.375,-0.3488
wbm-1-71,-30.2829,-0.7645,-0.9755,-0.753,-0.7992
wbm-1-72,-17.4622,-0.0934,-0.0934,-0.231,-0.1829
wbm-1-73,-15.1136,-0.2408,-0.2408,-0.336,-0.327
wbm-1-74,-19.4957,0.3676,0.3676,0.158,0.2811
wbm-1-75,-28.6302,0.0438,0.0438,0.039,0.0771
wbm-1-76,-12.3908,-0.2941,-0.2941,-0.418,-0.3548
wbm-1-77,-18.4358,0.3624,0.3624,0.683,0.5122
wbm-1-78,-16.9708,0.1841,0.1841,0.285,0.2191
wbm-1-79,-22.2249,-0.271,-0.271,-0.278,-0.2975
wbm-1-80,-37.2148,-0.1651,-0.3057,-0.198,-0.1896
wbm-1-81,-37.0765,-0.1535,-0.2942,-0.206,-0.1205
wbm-1-82,-13.4495,-0.1235,-0.1235,-0.069,-0.1919
wbm-1-83,-27.0124,-0.1424,-0.1424,-0.17,-0.1637
wbm-1-84,-11.0747,0.2108,0.2108,0.107,0.1744
wbm-1-85,-19.0763,0.4748,0.4748,0.299,0.4053
wbm-1-86,-21.0319,0.3159,0.3159,0.057,0.0498
wbm-1-87,-15.0662,0.0939,0.0939,-0.112,-0.0515
wbm-1-88,-16.9146,0.6011,0.6011,0.333,0.5399
wbm-1-89,-12.7782,-0.0687,-0.0687,-0.209,-0.1676
wbm-1-90,-21.9528,-0.2785,-0.2785,-0.261,-0.2525
wbm-1-91,-16.4361,0.1735,0.1735,0.305,0.0879
wbm-1-92,-32.5739,0.2232,0.2232,0.236,0.2672
wbm-1-93,-10.0583,-0.1227,-0.1227,-0.27,-0.2061
wbm-1-94,-12.753,-0.0335,-0.0335,-0.152,-0.1231
wbm-1-95,-11.8401,-0.0171,-0.0171,-0.04,-0.0451
wbm-1-96,-22.5308,0.2806,0.2806,0.05,0.1121
wbm-1-97,-11.2017,0.2965,0.2965,0.088,0.118
wbm-1-98,-22.53,0.2807,0.2807,0.046,0.1057
wbm-1-99,-9.5851,-0.0411,-0.0411,-0.05,-0.0516
wbm-1-100,-9.4954,-0.0187,-0.0187,-0.026,0.0028
wbm-1-101,-28.2428,-0.2542,-0.2542,-0.215,-0.2357
wbm-1-102,-28.1619,-0.2539,-0.2539,-0.218,-0.2383
wbm-1-103,-39.2623,-0.2103,-0.2103,-0.172,-0.1913
wbm-1-104,-47.1313,-0.2479,-0.2479,-0.202,-0.2257
wbm-1-105,-15.9431,0.2075,0.2075,0.018,0.062
wbm-1-106,-28.1148,-0.2443,-0.2443,-0.216,-0.2349
wbm-1-107,-20.7342,-0.2995,-0.2995,-0.197,-0.2066
wbm-1-108,-22.6194,-0.0151,-0.0151,-0.041,-0.0488
wbm-1-109,-15.6312,0.4262,0.4262,0.417,0.4149
wbm-1-110,-15.6114,0.4312,0.4312,0.413,0.3928
wbm-1-111,-28.7611,-0.2367,-0.2367,-0.199,-0.2249
wbm-1-112,-13.9229,-0.1223,-0.1223,-0.193,-0.1413
wbm-1-113,-28.3418,-0.2263,-0.2263,-0.193,-0.2023
wbm-1-114,-39.9134,0.3722,0.3722,0.232,0.3732
wbm-1-115,-11.0983,0.278,0.278,0.081,0.1071
wbm-1-116,-22.4294,0.2489,0.2489,0.054,0.0967
wbm-1-117,-28.1532,-0.2071,-0.2071,-0.199,-0.2152
wbm-1-118,-28.3519,-0.2243,-0.2243,-0.189,-0.1941
wbm-1-119,-14.538,0.0077,0.0077,0.02,0.0074
wbm-1-120,-44.9164,0.0768,0.0768,0.066,0.0139
wbm-1-121,-24.3147,0.0875,0.0875,-0.018,0.0311
wbm-1-122,-12.1583,0.0873,0.0873,-0.0,0.0312
wbm-1-123,-38.8423,0.2336,0.2336,0.493,0.5662
wbm-1-124,-37.4895,-0.5108,-0.6515,-0.544,-0.5376
wbm-1-125,-32.8099,-0.1233,-0.1233,-0.055,-0.0647
wbm-1-126,-9.9108,0.2374,0.2374,0.096,0.0688
wbm-1-127,-28.0438,-0.2621,-0.2621,-0.22,-0.2259
wbm-1-128,-35.4689,0.5137,0.5137,0.166,0.5219
wbm-1-129,-22.4351,-0.295,-0.295,-0.281,-0.2803
wbm-1-130,-17.0833,0.036,0.036,-0.096,0.0089
wbm-1-131,-16.2461,-0.0618,-0.0618,-0.224,-0.0567
wbm-1-132,-16.043,-0.029,-0.029,-0.229,-0.0466
wbm-1-133,-21.593,-0.0611,-0.0611,-0.008,0.0192
wbm-1-134,-16.1397,-0.0454,-0.0454,-0.226,-0.0466
wbm-1-135,-14.1348,-0.0105,-0.0105,-0.031,-0.0357
wbm-1-136,-16.6564,-0.078,-0.078,-0.197,-0.1271
wbm-1-137,-16.4052,-0.0613,-0.0613,-0.193,-0.0671
wbm-1-138,-16.3856,-0.0549,-0.0549,-0.187,-0.085
wbm-1-139,-16.4063,-0.0715,-0.0715,-0.204,-0.0753
wbm-1-140,-16.2197,-0.051,-0.051,-0.221,-0.0741
wbm-1-141,-19.1247,-0.0761,-0.0761,-0.07,-0.0847
wbm-1-142,-16.0201,-0.0428,-0.0428,-0.232,-0.0327
wbm-1-143,-20.3505,0.4543,0.4543,0.267,0.4496
wbm-1-144,-13.0002,-0.026,-0.026,-0.252,-0.1559
wbm-1-145,-18.0262,0.0244,0.0244,-0.012,-0.0064
wbm-1-146,-12.8212,0.1123,0.1123,0.065,0.1678
wbm-1-147,-9.5585,0.0314,0.0314,0.041,0.029
wbm-1-148,-22.1934,0.3637,0.3637,-0.305,-0.2069
wbm-1-149,-20.1272,0.1361,0.1361,-0.022,-0.0362
wbm-1-150,-6.4243,0.0724,0.0724,0.092,0.1786
wbm-1-151,-22.0574,-0.2808,-0.2808,-0.301,-0.2777
wbm-1-152,-26.8047,0.4711,0.4711,0.363,0.5764
wbm-1-153,-11.826,-0.4704,-0.4704,-0.46,-0.5618
wbm-1-154,-12.5251,-0.4911,-0.4911,-0.66,-0.6472
wbm-1-155,-11.9135,-0.3826,-0.3826,-0.403,-0.4556
wbm-1-156,-14.2378,-0.3741,-0.3741,-0.463,-0.5007
wbm-1-157,-20.3103,-0.5045,-0.5045,-0.66,-0.6108
wbm-1-158,-5.8453,-0.1216,-0.1216,-0.282,-0.3355
wbm-1-159,-10.4586,-0.2389,-0.2389,-0.279,-0.2823
wbm-1-160,-6.1208,0.3009,0.3009,0.145,0.1869
wbm-1-161,-9.3615,-0.1405,-0.1405,-0.166,-0.1606
wbm-1-162,-13.5456,-0.0072,-0.0072,0.106,0.0805
wbm-1-163,-10.2072,-0.1482,-0.1482,-0.252,-0.2416
wbm-1-164,-11.6728,-0.2309,-0.2309,-0.195,-0.22
wbm-1-165,-10.3466,0.107,0.107,-0.036,0.0511
wbm-1-166,-10.7614,-0.1145,-0.1145,-0.11,-0.1183
wbm-1-167,-6.9743,0.2237,0.2237,0.046,0.1609
wbm-1-168,-15.4696,0.038,0.038,-0.063,-0.018
wbm-1-169,-13.9746,-0.2514,-0.2514,-0.306,-0.2492
wbm-1-170,-13.8226,-0.2329,-0.2329,-0.311,-0.2451
wbm-1-171,-25.323,-0.2459,-0.2459,-0.302,-0.3035
wbm-1-172,-33.0211,-0.2783,-0.2783,-0.311,-0.2738
wbm-1-173,-22.6319,0.2595,0.2595,0.115,0.202
wbm-1-174,-13.8652,-0.2362,-0.2362,-0.308,-0.2453
wbm-1-175,-8.6838,0.1438,0.1438,0.073,0.2347
wbm-1-176,-19.3426,0.5224,0.5224,0.581,0.6135
wbm-1-177,-14.6526,-0.2563,-0.2563,-0.282,-0.2597
wbm-1-178,-29.0941,-0.3355,-0.3355,-0.342,-0.3527
wbm-1-179,-14.3789,-0.2718,-0.2718,-0.279,-0.2545
wbm-1-180,-16.4113,-0.1285,-0.1285,-0.078,-0.116
wbm-1-181,-30.8445,0.3617,0.3617,0.095,0.1612
wbm-1-182,-16.1315,-0.0604,-0.1244,-0.048,-0.0081
wbm-1-183,-14.331,-0.2846,-0.2846,-0.288,-0.2491
wbm-1-184,-14.0385,-0.2536,-0.2536,-0.302,-0.2575
wbm-1-185,-18.7545,-0.0428,-0.0428,-0.026,-0.0473
wbm-1-186,-13.5309,-0.206,-0.206,-0.312,-0.2341
wbm-1-187,-22.9164,0.8555,0.8555,0.67,0.7619
wbm-1-188,-15.2095,-0.0234,-0.0234,-0.026,-0.066
wbm-1-189,-7.6946,-0.0459,-0.0459,-0.059,-0.074
wbm-1-190,-7.7389,-0.057,-0.057,-0.058,-0.0931
wbm-1-191,-8.2904,-0.3639,-0.3639,-0.391,-0.3796
wbm-1-192,-19.2114,-0.3097,-0.3097,-0.325,-0.2898
wbm-1-193,-15.2212,-0.0547,-0.0547,-0.163,-0.1437
wbm-1-194,-25.233,-0.424,-0.424,-0.372,-0.3106
wbm-1-195,-25.6793,0.0617,0.0617,-0.082,0.0232
wbm-1-196,-14.5789,0.04,0.04,0.005,0.0451
wbm-1-197,-39.6086,-0.2415,-0.2415,-0.29,-0.2842
wbm-1-198,-17.3939,0.0344,0.0344,-0.026,-0.0002
wbm-1-199,-19.3179,-0.2864,-0.2864,-0.31,-0.311
wbm-1-200,-17.5361,-0.554,-0.554,-0.594,-0.4863
wbm-1-201,-13.2271,-0.2193,-0.2193,-0.405,-0.305
wbm-1-202,-12.4819,-0.1452,-0.1452,-0.179,-0.2005
wbm-1-203,-16.1013,-0.5285,-0.5285,-0.606,-0.5612
wbm-1-204,-36.7376,-0.3646,-0.3646,-0.382,-0.3658
wbm-1-205,-15.4314,-0.1382,-0.1382,-0.215,-0.1968
wbm-1-206,-17.419,-0.5443,-0.5443,-0.611,-0.4869
wbm-1-207,-13.093,-0.2053,-0.2053,-0.412,-0.3029
wbm-1-208,-23.5999,-0.1011,-0.1011,-0.321,-0.2027
wbm-1-209,-12.3574,-0.1298,-0.1298,-0.185,-0.2145
wbm-1-210,-16.015,-0.5167,-0.5167,-0.609,-0.5662
wbm-1-211,-24.405,-0.3632,-0.3632,-0.373,-0.3295
wbm-1-212,-15.3153,-0.1287,-0.1287,-0.224,-0.2365
wbm-1-213,-29.071,-0.4411,-0.4411,-0.621,-0.6161
wbm-1-214,-24.7991,-0.2697,-0.2697,-0.408,-0.4168
wbm-1-215,-32.7041,-0.1123,-0.1123,-0.295,-0.3071
wbm-1-216,-28.4589,-0.3324,-0.3324,-0.44,-0.4542
wbm-1-217,-52.8393,-0.2586,-0.2586,-0.343,-0.4118
wbm-1-218,-13.5514,-0.2134,-0.2134,-0.293,-0.2827
wbm-1-219,-41.9269,-0.5259,-0.5259,-0.557,-0.478
wbm-1-220,-43.7231,-0.4134,-0.4134,-0.428,-0.4004
wbm-1-221,-65.5226,-0.4065,-0.4065,-0.406,-0.3767
wbm-1-222,-22.3844,0.1666,0.1666,0.053,0.0694
wbm-1-223,-33.5432,-0.4894,-0.4894,-0.446,-0.5236
wbm-1-224,-35.3408,-0.3416,-0.3416,-0.306,-0.3797
wbm-1-225,-23.5638,0.3864,0.3864,0.124,0.066
wbm-1-226,-12.8257,-0.0179,-0.0179,0.095,-0.0429
wbm-1-227,-6.4986,0.2079,0.2079,0.159,0.2369
wbm-1-228,-14.981,0.3517,0.3517,0.497,0.1904
wbm-1-229,-11.0505,-0.0492,-0.0492,-0.202,-0.1694
wbm-1-230,-12.6288,0.5256,0.5256,0.219,0.1487
wbm-1-231,-30.9994,0.1681,0.1681,-0.001,0.0614
wbm-1-232,-18.2877,-0.0809,-0.0809,-0.111,-0.1244
wbm-1-233,-22.5623,0.7892,0.7892,0.573,0.7201
wbm-1-234,-17.4222,-0.5377,-0.5377,-0.603,-0.4835
wbm-1-235,-13.1421,-0.2103,-0.2103,-0.408,-0.3041
wbm-1-236,-23.6729,-0.112,-0.112,-0.301,-0.1927
wbm-1-237,-12.3973,-0.1333,-0.1333,-0.182,-0.2087
wbm-1-238,-16.0461,-0.5208,-0.5208,-0.608,-0.5663
wbm-1-239,-36.4495,-0.3407,-0.3407,-0.368,-0.3478
wbm-1-240,-15.3665,-0.1341,-0.1341,-0.22,-0.2327
wbm-1-241,-20.9983,-0.9308,-1.1203,-1.088,-1.0188
wbm-1-242,-21.261,-0.9636,-1.1531,-1.078,-1.0697
wbm-1-243,-22.1746,-1.0778,-1.2673,-1.086,-1.0944
wbm-1-244,-22.8093,-0.4529,-0.6424,-0.372,-0.4487
wbm-1-245,-25.9872,-0.9387,-1.1661,-0.945,-0.9476
wbm-1-246,-13.0208,-0.9442,-1.1716,-0.934,-0.9313
wbm-1-247,-24.9443,-0.541,-0.7684,-0.542,-0.5653
wbm-1-248,-12.4763,-0.5418,-0.7692,-0.531,-0.5365
wbm-1-249,-11.5151,0.0237,0.0237,-0.031,0.1411
wbm-1-250,-8.066,0.1434,0.1434,0.066,0.1959
wbm-1-251,-17.4802,-0.0765,-0.0765,0.018,0.0068
wbm-1-252,-18.6738,0.2224,0.2224,0.371,0.3505
wbm-1-253,-24.4223,-0.5019,-0.743,-0.453,-0.5048
wbm-1-254,-9.9794,0.1798,0.1798,0.119,0.1774
wbm-1-255,-8.2843,0.0172,0.0172,-0.015,-0.0199
wbm-1-256,-20.9815,0.1492,0.1492,0.07,0.0986
wbm-1-257,-10.4169,0.1677,0.1677,0.096,0.24
wbm-1-258,-17.9915,-0.1353,-0.1353,-0.166,-0.1689
wbm-1-259,-16.1199,-0.3305,-0.3305,-0.397,-0.3541
wbm-1-260,-27.0779,-0.2274,-0.2274,-0.346,-0.3714
wbm-1-261,-34.817,-0.2701,-0.2701,-0.412,-0.3281
wbm-1-262,-24.6307,0.217,0.217,-0.004,0.0326
wbm-1-263,-21.3663,-0.5127,-0.7022,-0.532,-0.4957
wbm-1-264,-16.7507,-0.3236,-0.3236,-0.374,-0.3415
wbm-1-265,-23.5417,-0.4169,-0.4169,-0.423,-0.4497
wbm-1-266,-34.6259,-0.3406,-0.3406,-0.444,-0.3813
wbm-1-267,-16.3707,-0.3126,-0.3126,-0.367,-0.3407
wbm-1-268,-32.1844,0.4839,0.4839,0.021,-0.0151
wbm-1-269,-16.2195,-0.3416,-0.3416,-0.395,-0.352
wbm-1-270,-13.0509,-0.295,-0.506,-0.209,-0.3
wbm-1-271,-37.5159,-0.2171,-0.3578,-0.265,-0.2406
wbm-1-272,-20.9047,-0.1231,-0.1231,-0.12,-0.1662
wbm-1-273,-15.6869,-0.2878,-0.2878,-0.395,-0.3425
wbm-1-274,-25.5125,0.6636,0.6636,0.558,0.5337
wbm-1-275,-10.5395,0.1573,0.1573,0.044,0.2062
wbm-1-276,-9.9619,-0.3246,-0.3246,-0.419,-0.3969
wbm-1-277,-18.447,0.5915,0.5915,0.727,0.7661
wbm-1-278,-27.8077,0.385,0.385,0.466,0.452
wbm-1-279,-17.9029,0.387,0.387,0.271,0.3645
wbm-1-280,-36.1842,0.3456,0.3456,0.155,0.3977
wbm-1-281,-39.1232,0.2708,0.2708,-0.209,0.1951
wbm-1-282,-28.3316,-0.4582,-0.4582,-0.394,-0.3772
wbm-1-283,-33.4409,0.2032,0.2032,0.136,0.3265
wbm-1-284,-20.2025,-0.347,-0.5365,-0.383,-0.3785
wbm-1-285,-14.1658,-0.2894,-0.2894,-0.383,-0.3108
wbm-1-286,-23.7643,0.0419,0.0419,-0.109,-0.0839
wbm-1-287,-18.1174,-0.425,-0.425,-0.452,-0.4396
wbm-1-288,-21.4416,-0.6665,-0.6665,-0.66,-0.6463
wbm-1-289,-35.472,-0.5469,-0.5469,-0.595,-0.5802
wbm-1-290,-38.2449,-0.4224,-0.4224,-0.462,-0.4699
wbm-1-291,-25.9553,-0.4988,-0.4988,-0.465,-0.4434
wbm-1-292,-22.472,-0.6404,-0.6404,-0.565,-0.7323
wbm-1-293,-32.695,-0.2026,-0.2026,-0.266,-0.1877
wbm-1-294,-16.364,-0.2067,-0.2067,-0.256,-0.1899
wbm-1-295,-12.2298,-0.1184,-0.1184,-0.19,-0.2608
wbm-1-296,-16.0371,-0.5339,-0.5339,-0.605,-0.5585
wbm-1-297,-8.516,-0.1387,-0.1387,-0.205,-0.2185
wbm-1-298,-24.1351,-0.3338,-0.3338,-0.319,-0.2731
wbm-1-299,-15.1847,-0.1194,-0.1194,-0.229,-0.233
wbm-1-300,-7.752,-0.1992,-0.1992,-0.355,-0.2833
wbm-1-301,-17.8014,-0.5397,-0.5397,-0.51,-0.4736
wbm-1-302,-23.6393,-0.0108,-0.0108,-0.107,-0.0891
wbm-1-303,-37.2328,-0.3659,-0.3659,-0.43,-0.4251
wbm-1-304,-14.0022,0.8891,0.8891,0.599,0.746
wbm-1-305,-21.0976,0.3012,0.3012,0.026,0.0615
wbm-1-306,-40.7978,0.4494,0.4494,0.065,0.4118
wbm-1-307,-28.6233,0.0661,0.0661,-0.126,-0.0779
wbm-1-308,-34.3706,0.568,0.568,0.351,0.7051
wbm-1-309,-19.4756,0.1733,0.1733,0.018,0.0813
wbm-1-310,-62.7974,-0.0398,-0.0398,-0.066,-0.0347
wbm-1-311,-29.6883,-0.295,-0.295,-0.234,-0.2422
wbm-1-312,-43.7181,-0.2045,-0.2045,-0.171,-0.176
wbm-1-313,-33.8433,0.305,0.305,0.175,0.3655
wbm-1-314,-50.8415,0.2965,0.2965,0.286,0.3569
wbm-1-315,-7.9404,-0.1787,-0.1787,-0.281,-0.2286
wbm-1-316,-17.7319,-0.5159,-0.5159,-0.495,-0.4662
wbm-1-317,-23.5784,0.0109,0.0109,-0.07,-0.0682
wbm-1-318,-16.2377,-0.5191,-0.5191,-0.557,-0.515
wbm-1-319,-37.1433,-0.3517,-0.3517,-0.431,-0.4113
wbm-1-320,-21.1318,-0.5091,-0.5091,-0.479,-0.5874
wbm-1-321,-15.0199,0.0645,0.0645,0.092,0.0664
wbm-1-322,-41.7892,0.0377,0.0377,0.097,0.0257
wbm-1-323,-19.2709,-0.5312,-0.5312,-0.617,-0.5808
wbm-1-324,-30.6483,0.24,0.24,0.359,0.3708
wbm-1-325,-16.6331,0.2337,0.2337,0.105,0.2362
wbm-1-326,-36.6128,-0.662,-0.758,-0.673,-0.6748
wbm-1-327,-48.0421,-0.6596,-0.7556,-0.649,-0.6281
wbm-1-328,-55.9564,-0.7029,-0.7989,-0.749,-0.7251
wbm-1-329,-36.7218,-0.672,-0.768,-0.691,-0.692
wbm-1-330,-37.6855,-0.746,-0.842,-0.778,-0.7719
wbm-1-331,-37.7417,-0.7498,-0.8458,-0.785,-0.7739
wbm-1-332,-37.5302,-0.739,-0.835,-0.761,-0.7586
wbm-1-333,-37.0273,-0.6972,-0.7932,-0.724,-0.7235
wbm-1-334,-42.7146,-0.7132,-0.8092,-0.687,-0.6612
wbm-1-335,-36.321,-0.6485,-0.7445,-0.652,-0.6553
wbm-1-336,-46.9023,-0.2673,-0.3633,-0.316,-0.2939
wbm-1-337,-44.6101,-0.0206,-0.1486,0.006,-0.1089
wbm-1-338,-30.1268,-0.6083,-0.7043,-0.59,-0.5723
wbm-1-339,-44.2453,-0.7269,-0.7909,-0.851,-0.7751
wbm-1-340,-20.8567,-0.419,-0.467,-0.424,-0.4157
wbm-1-341,-78.3726,-0.7799,-0.8439,-0.792,-0.7603
wbm-1-342,-7.0829,0.0608,-0.0032,0.058,0.0846
wbm-1-343,-32.4443,-0.5274,-0.7801,-0.544,-0.4685
wbm-1-344,-28.7505,-0.2818,-0.4928,-0.272,-0.2615
wbm-1-345,-42.6977,-0.2461,-0.4571,-0.231,-0.2533
wbm-1-346,-17.797,-0.5633,-0.5633,-0.541,-0.4772
wbm-1-347,-23.7053,-0.052,-0.052,-0.171,-0.1209
wbm-1-348,-36.936,-0.3494,-0.3494,-0.421,-0.4012
wbm-1-349,-21.5027,0.0335,0.0335,0.017,0.0186
wbm-1-350,-29.5696,0.0191,0.0191,0.107,0.0803
wbm-1-351,-37.2734,0.0469,0.0469,0.034,0.0023
wbm-1-352,-12.0951,-0.3537,-0.3537,-0.443,-0.516
wbm-1-353,-19.7829,-0.2686,-0.2686,-0.336,-0.3448
wbm-1-354,-17.8355,-0.4645,-0.4645,-0.49,-0.4864
wbm-1-355,-29.218,-0.448,-0.448,-0.513,-0.5281
wbm-1-356,-37.3363,-0.5113,-0.5113,-0.494,-0.5369
wbm-1-357,-36.968,-0.4934,-0.4934,-0.561,-0.4957
wbm-1-358,-45.2084,-0.562,-0.562,-0.606,-0.5894
wbm-1-359,-17.9186,-0.4779,-0.4779,-0.5,-0.4897
wbm-1-360,-22.5733,-0.3491,-0.5386,-0.284,-0.3766
wbm-1-361,-26.7675,-0.5352,-0.5352,-0.654,-0.5537
wbm-1-362,-17.5878,-0.4259,-0.4259,-0.453,-0.4637
wbm-1-363,-18.3388,-0.4901,-0.4901,-0.526,-0.5132
wbm-1-364,-18.1098,-0.4264,-0.4264,-0.523,-0.5062
wbm-1-365,-41.6784,0.0903,0.0903,-0.286,-0.2552
wbm-1-366,-26.7026,-0.5968,-0.5968,-0.62,-0.6272
wbm-1-367,-18.045,-0.4835,-0.4835,-0.518,-0.5068
wbm-1-368,-14.2867,-0.2895,-0.5005,-0.207,-0.2494
wbm-1-369,-29.416,-0.3948,-0.6058,-0.304,-0.3819
wbm-1-370,-42.886,-0.2453,-0.386,-0.14,-0.183
wbm-1-371,-22.7187,-0.2622,-0.2622,-0.242,-0.3429
wbm-1-372,-31.0536,-0.4236,-0.4236,-0.428,-0.4514
wbm-1-373,-17.5553,-0.4404,-0.4404,-0.476,-0.473
wbm-1-374,-27.4006,0.5061,0.5061,0.362,0.2561
wbm-1-375,-36.3148,-0.0079,-0.0079,-0.026,-0.0799
wbm-1-376,-13.5005,0.046,0.046,0.03,-0.0276
wbm-1-377,-6.7469,0.0476,0.0476,0.083,0.2252
wbm-1-378,-20.1908,-0.5712,-0.5712,-0.522,-0.5831
wbm-1-379,-35.6624,-0.0689,-0.0689,0.156,-0.01
wbm-1-380,-25.8087,0.2465,0.2465,0.143,0.164
wbm-1-381,-20.878,0.09,0.09,0.084,0.2415
wbm-1-382,-13.9088,0.3472,0.3472,0.537,0.4575
wbm-1-383,-28.6878,0.1732,0.1732,0.289,0.1374
wbm-1-384,-13.6879,0.5012,0.5012,0.632,0.8209
wbm-1-385,-13.3218,-0.2292,-0.2292,-0.401,-0.3162
wbm-1-386,-23.7674,-0.1096,-0.1096,-0.261,-0.1759
wbm-1-387,-15.513,-0.2622,-0.2622,-0.341,-0.3004
wbm-1-388,-12.5473,-0.1486,-0.1486,-0.175,-0.213
wbm-1-389,-16.1136,-0.5247,-0.5247,-0.604,-0.5565
